Season,Rank,Identifier,Club,Matchday,Broadcast,Commercial,Total
2007/2008,3,FCB,FC Barcelona,72.40,92.00,80.00,244.40
2007/2008,4,BM,Bayern Munich,55.00,39.10,139.70,233.80
2007/2008,5,CFC,Chelsea,74.50,77.40,61.00,212.90
2007/2008,6,ARS,Arsenal,94.60,70.40,44.30,209.30
2007/2008,7,LFC,Liverpool FC,39.20,76.30,51.50,167.00
2007/2008,8,ACM,AC Milan,21.10,97.00,47.70,165.80
2007/2008,9,ROMA,AS Roma,18.50,83.70,36.70,138.90
2007/2008,10,INTER,Inter Milan,22.50,85.30,29.10,136.90
2007/2008,11,JUVE,Juventus,9.90,84.40,38.30,132.60
2007/2008,12,OL,Olympique Lyonnais,17.30,59.40,46.60,123.30
2007/2008,13,SCHALKE,Schalke 04,25.60,44.30,47.60,117.50
2007/2008,14,THFC,Tottenham Hotspur,40.40,40.30,34.10,114.80
2007/2008,15,HAM,Hamburger SV,36.00,22.80,42.50,101.30
2007/2008,16,OM,Olympique de Marseille,18.60,55.00,26.80,100.40
2007/2008,17,NUFC,Newcastle United,32.40,41.10,25.90,99.40
2007/2008,18,VFB,VfB Stuttgart,14.80,34.80,38.70,88.30
2007/2008,19,FEN,Fenerbahçe,22.10,21.10,44.90,88.10
2007/2008,20,MCFC,Manchester City,18.50,43.30,20.50,82.30
